NAME,DP03_0120PE,state,county
"Arthur County, Nebraska",15.7,31,005
"Boone County, Nebraska",7.1,31,011
"Brown County, Nebraska",15.3,31,017
"Butler County, Nebraska",10.3,31,023
"Chase County, Nebraska",12.2,31,029
"Clay County, Nebraska",10.7,31,035
"Cuming County, Nebraska",3.6,31,039
"Dawes County, Nebraska",16.6,31,045
"Dixon County, Nebraska",9.2,31,051
"Dundy County, Nebraska",18.1,31,057
"Frontier County, Nebraska",14.7,31,063
"Garden County, Nebraska",5.2,31,069
"Grant County, Nebraska",16.9,31,075
"Hamilton County, Nebraska",3.4,31,081
"Hitchcock County, Nebraska",15.2,31,087
"Howard County, Nebraska",5.2,31,093
"Kearney County, Nebraska",17.2,31,099
"Kimball County, Nebraska",13.6,31,105
"Lincoln County, Nebraska",6.7,31,111
"McPherson County, Nebraska",36.0,31,117
"Morrill County, Nebraska",5.8,31,123
"Nemaha County, Nebraska",16.5,31,127
"Valley County, Nebraska",14.1,31,175
"Wayne County, Nebraska",3.2,31,179
"York County, Nebraska",9.5,31,185
"Adams County, Nebraska",12.0,31,001
"Antelope County, Nebraska",9.8,31,003
"Banner County, Nebraska",8.5,31,007
"Blaine County, Nebraska",5.3,31,009
"Box Butte County, Nebraska",13.3,31,013
"Boyd County, Nebraska",7.7,31,015
"Buffalo County, Nebraska",10.1,31,019
"Burt County, Nebraska",14.5,31,021
"Cass County, Nebraska",6.4,31,025
"Cedar County, Nebraska",6.4,31,027
"Cherry County, Nebraska",11.9,31,031
"Cheyenne County, Nebraska",9.6,31,033
"Colfax County, Nebraska",7.6,31,037
"Custer County, Nebraska",13.2,31,041
"Dakota County, Nebraska",19.7,31,043
"Dawson County, Nebraska",15.4,31,047
"Deuel County, Nebraska",10.9,31,049
"Dodge County, Nebraska",11.9,31,053
"Douglas County, Nebraska",10.8,31,055
"Fillmore County, Nebraska",7.2,31,059
"Franklin County, Nebraska",25.5,31,061
"Furnas County, Nebraska",7.2,31,065
"Gage County, Nebraska",13.4,31,067
"Garfield County, Nebraska",15.5,31,071
"Gosper County, Nebraska",11.5,31,073
"Greeley County, Nebraska",13.0,31,077
"Hall County, Nebraska",14.8,31,079
"Harlan County, Nebraska",6.8,31,083
"Hayes County, Nebraska",15.9,31,085
"Holt County, Nebraska",3.2,31,089
"Hooker County, Nebraska",20.3,31,091
"Jefferson County, Nebraska",5.4,31,095
"Johnson County, Nebraska",8.8,31,097
"Keith County, Nebraska",18.7,31,101
"Keya Paha County, Nebraska",7.8,31,103
"Knox County, Nebraska",9.7,31,107
"Lancaster County, Nebraska",11.1,31,109
"Logan County, Nebraska",8.7,31,113
"Loup County, Nebraska",6.6,31,115
"Madison County, Nebraska",15.1,31,119
"Merrick County, Nebraska",16.9,31,121
"Nance County, Nebraska",9.3,31,125
"Nuckolls County, Nebraska",12.7,31,129
"Otoe County, Nebraska",13.9,31,131
"Pawnee County, Nebraska",21.4,31,133
"Perkins County, Nebraska",6.0,31,135
"Phelps County, Nebraska",15.1,31,137
"Pierce County, Nebraska",10.7,31,139
"Platte County, Nebraska",8.8,31,141
"Polk County, Nebraska",9.8,31,143
"Red Willow County, Nebraska",11.2,31,145
"Richardson County, Nebraska",11.0,31,147
"Rock County, Nebraska",10.9,31,149
"Saline County, Nebraska",14.8,31,151
"Sarpy County, Nebraska",5.8,31,153
"Saunders County, Nebraska",4.5,31,155
"Scotts Bluff County, Nebraska",12.7,31,157
"Seward County, Nebraska",6.6,31,159
"Sheridan County, Nebraska",26.2,31,161
"Sherman County, Nebraska",11.5,31,163
"Sioux County, Nebraska",3.9,31,165
"Stanton County, Nebraska",6.1,31,167
"Thayer County, Nebraska",11.0,31,169
"Thomas County, Nebraska",5.6,31,171
"Thurston County, Nebraska",22.2,31,173
"Washington County, Nebraska",9.9,31,177
"Webster County, Nebraska",8.6,31,181
"Wheeler County, Nebraska",21.4,31,183
